Emp_ID,Emp_Fname,Emp_Lname,Position ,StartDate, Salary  ,Emp_Street ,Emp_City,Emp_State,Emp_email,Emp_phone,Emp_LOC,SSN
1359927,Thomas,Spence,Store Manager,3/5/2020, $14.00 ,Moorfield West,Sacramento,California ,jelmer@icloud.com,(741) 272-8691,B001,234677890
9615143,Charles,Diaz,Team Member ,8/2/2019, $12.00 ,Heathcote Cloisters,San Jose,California ,bhtower@outlook.com,(297) 864-6214,B002,17498493
8343559,Suzan,Rodgers,Shift Leader,7/8/2019, $13.00 ,Buxton Side,San Bernadino,California ,pontipak@live.com,(855) 677-1965,C001,864108939
5901566,Benjamin,James,Team Member ,9/13/2019, $10.00 ,Brock Brae,Sacramento,California ,yangyan@msn.com,(259) 876-7034,B001,503139206
340115,Haiden,Villa,Store Manager,5/16/2019, $13.00 ,Edmonds Road,San Jose,California ,nasarius@sbcglobal.net,(441) 750-5441,B002,618687989
6881020,Coralie,Gross,Store Manager,4/25/2020, $15.00 ,Potassels Road,San Bernadino,California ,parents@yahoo.ca,(811) 687-0683,C001,828300739
6008561,Randall,Villarreal,Team Member ,1/14/2019, $12.00 ,Court Fold,San Jose,California ,offthelip@optonline.net,(915) 721-1787,B002,789259524
5170880,Ricardo,Potts,Team Member ,9/24/2019, $12.00 ,Malvern Glebe,Sacramento,California ,tmaek@msn.com,(866) 710-3378,B001,77687729
1444386,Justice,Glass,Team Member ,5/22/2020, $10.00 ,Barclay Banks,Santa Cruz,California ,purvis@icloud.com,(314) 456-6813,B003,283968708
599903,Kae,Lopez,Shift Leader,7/6/2021, $13.00 ,Millers Villas,San Jose,California ,andrei@hotmail.com,(603) 362-6334,B002,903141575
8695867,Doran,Wong,Store Manager,9/29/2019, $14.00 ,London Furlong,San Jose,California ,mhanoh@msn.com,(302) 379-6730,B002,285363000
2101054,Harriet,Mclaughlin,Team Member ,6/6/2019, $14.00 ,Fleet Dale,Santa Cruz,California ,bbirth@yahoo.com,(419) 266-1551,B003,980653569
8833559,Kathryn,Hammond,Shift Leader,5/31/2020, $13.00 ,Alexander Lodge,San Bernadino,California ,crowemojo@me.com,(492) 768-4047,C001,577383396
6287058,Ryder,Carter,Team Member ,3/28/2020, $11.00 ,Pippin Approach,Pleasant Hill,California ,dsugal@optonline.net,(315) 567-8435,BOO4,980557631
8468595,Matteo,Hess,Team Member ,10/1/2021, $15.00 ,Lytton Croft,Sacramento,California ,mddallara@comcast.net,(288) 917-0677,B001,25101659
140097,Hyrum,Wade,Team Member ,12/21/2019, $10.00 ,Kempton Park,San Jose,California ,tokuhirom@live.com,(983) 430-2000,B002,715282236
3400018,Grant,Taylor,Team Member ,4/7/2019, $15.00 ,Danesborough View East,Sacramento,California ,bmorrow@aol.com,(455) 266-2404,B001,85794008
6974532,Heath,Frye,Store Manager,11/9/2021, $14.00 ,Repton South,San Jose,California ,sinclair@msn.com,(242) 740-0827,B002,232470154
4138569,Bram,Roth,Team Member ,9/3/2020, $12.00 ,Bradden Close,Santa Cruz,California ,research@sbcglobal.net,(980) 486-3290,B003,134055436
7570614,Paul,Mccullough,Team Member ,10/30/2019, $11.00 ,Pinewood Vale,Sacramento,California ,ducasse@verizon.net,(826) 282-9039,B001,919277099
4332392,Jaidyn,Thompson,District Manager,7/25/2019, $16.00 ,Rams Grove,San Jose,California ,euice@comcast.net,(634) 356-5024,B002,191493339
7808280,Korin,Mcdaniel,Store Manager,10/26/2020, $14.00 ,Welland North,San Bernadino,California ,jfreedma@verizon.net,(359) 625-8271,C001,878104295
6313265,Justin,Bird,Team Member ,2/11/2020, $11.00 ,Calcott Park,San Bernadino,California ,kwilliams@att.net,(451) 518-7654,C001,951180312
2022599,Caren,Cowan,Team Member ,11/20/2020, $10.00 ,Tamworth Loke,San Bernadino,California ,panolex@hotmail.com,(408) 234-7209,C001,821237376
9577315,Selene,Alvarado,Shift Leader,3/2/2019, $13.00 ,Munro Bottom,Pleasant Hill,California ,sagal@yahoo.com,(219) 542-4495,B004,220325380
8801630,Beck,Meza,Team Member ,12/13/2019, $10.00 ,Ely Lea,Santa Cruz,California ,solomon@live.com,(339) 906-5321,B003,625540574
